"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","br.ufc.control","src/br/ufc/control/AlunoService.java","3","12","headerCommentRequirement Required","Comments","CommentRequired"
"2","br.ufc.control","src/br/ufc/control/AlunoService.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"3","br.ufc.control","src/br/ufc/control/AlunoService.java","3","14","Private field 'alunoDAO' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"4","br.ufc.control","src/br/ufc/control/AlunoService.java","3","14","fieldCommentRequirement Required","Comments","CommentRequired"
"5","br.ufc.control","src/br/ufc/control/AlunoService.java","3","16","Parameter 'alunoDAO' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","br.ufc.control","src/br/ufc/control/AlunoService.java","3","16","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","br.ufc.control","src/br/ufc/control/AlunoService.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"8","br.ufc.control","src/br/ufc/control/AlunoService.java","3","24","Parameter 'alunoAInserir' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","br.ufc.control","src/br/ufc/control/AlunoService.java","3","24","publicMethodCommentRequirement Required","Comments","CommentRequired"
"10","br.ufc.control","src/br/ufc/control/AlunoService.java","5","29","Found 'DD'-anomaly for variable 'matricula' (lines '29'-'31').","Controversial","DataflowAnomalyAnalysis"
"11","br.ufc.control","src/br/ufc/control/AlunoService.java","3","31","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial","NullAssignment"
"12","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","Parameter 'cpf' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"13","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"14","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","Parameter 'nascimento' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"15","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","Parameter 'nome' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","Parameter 'sexo' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"17","br.ufc.control","src/br/ufc/control/AlunoService.java","3","37","publicMethodCommentRequirement Required","Comments","CommentRequired"
"18","br.ufc.control","src/br/ufc/control/AlunoService.java","3","39","Local variable 'alunoAEditar' could be declared final","Optimization","LocalVariableCouldBeFinal"
"19","br.ufc.control","src/br/ufc/control/AlunoService.java","5","40","Found 'DD'-anomaly for variable 'edicaoOK' (lines '40'-'52').","Controversial","DataflowAnomalyAnalysis"
"20","br.ufc.control","src/br/ufc/control/AlunoService.java","3","44","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"21","br.ufc.control","src/br/ufc/control/AlunoService.java","3","45","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"22","br.ufc.control","src/br/ufc/control/AlunoService.java","3","46","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"23","br.ufc.control","src/br/ufc/control/AlunoService.java","3","47","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"24","br.ufc.control","src/br/ufc/control/AlunoService.java","3","59","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"25","br.ufc.control","src/br/ufc/control/AlunoService.java","3","59","publicMethodCommentRequirement Required","Comments","CommentRequired"
"26","br.ufc.control","src/br/ufc/control/AlunoService.java","3","63","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"27","br.ufc.control","src/br/ufc/control/AlunoService.java","3","63","publicMethodCommentRequirement Required","Comments","CommentRequired"
"28","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","15","headerCommentRequirement Required","Comments","CommentRequired"
"29","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"30","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","17","Private field 'aluno' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"31","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"32","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"33","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","18","Private field 'alunoService' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"34","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"35","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","20","Avoid unnecessary constructors - the compiler will generate these for you","Controversial","UnnecessaryConstructor"
"36","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","20","Document empty constructor","Design","UncommentedEmptyConstructor"
